task,llama-3.1-8b,llama-3.1-70b,llama-3.2-1b,llama-3.2-3b,gpt-3.5,gpt-4o,gpt-4o-mini,phi-35,GPT-4-turbo
CBS-Chain10,23.61,77.78,8.33,9.72,16.67,62.5,22.22,8.33,90
CBS-Chain4,52.78,91.67,16.67,22.22,38.89,88.89,52.78,16.67,100
CBS-Chain2,70.83,95.83,25,25,58.33,100,58.33,25,100
CBS-ToyCTF,16.67,44.44,16.67,16.67,16.67,50,19.44,16.67,46.67
CBS-Tiny,50,75,50,50,50,100,50,50,90
Spam Text,88,96.8,42,83.4,94.2,93.6,91.4,87,93.4
Spam Text-4shot,95,97.4,32,87.2,86.8,96.8,95.2,71.4,97
Spam Web,77.2,83,30,67,85.8,90,88.8,66.8,83.2
Spam Web-2shot,76.67,85.4,24,64.4,76.8,91.8,88.4,65.4,84
Vulnerability,49.6,50.6,48.6,46.6,48,55,47.6,45,58.2
Vulnerability-4shot,53.4,55.8,48.8,44.6,56.6,61.2,54,45.4,58.8
Vulnerability-Devign,48.6,51.4,43.8,46.4,47,55.2,47,44.2,57.6
Vulnerability-Devign-4shot,53.8,57.8,49,47,60,58.4,54.4,45,57.8
MCQ,60.6,69.8,50.6,58.4,61.2,72,67.8,71,73.8
MCQ+Context,90.8,96.4,8.8,88,64.2,96.6,94.8,84.6,95
CVEfix,73.63,75.88,66.69,73.23,54.34,77.88,79.71,71.97,73.72
CBS-Chain10,22.22,55.55,8.33,13.89,29.27,1,25,12.5,29.17
CBS-Chain4,58.33,91.67,16.67,30.56,55.56,94.44,44.44,22.22,55.56
CBS-Chain2,66.67,91.67,25,54.17,83.33,1,83.33,29.17,83.33
CBS-ToyCTF,22.22,33.33,16.67,16.67,22.22,0.5,22.22,16.67,22.22
CBS-Tiny,66.67,91.67,50,58.33,50,1,66.67,50,50
Spam Text,81.8,94.8,56.2,84.2,93,93.4,91.8,88.2,93
Spam Text-4shot,91.4,97,40.8,88.4,88.4,96.9,96.2,78.8,88.4
Spam Web,79.6,81.2,39,70.6,87.2,90.5,88,69,87.2
Spam Web-2shot,76.2,84,33.4,68.4,74,91.7,87,64.8,74
Vulnerability,55.2,54.2,45,51.4,47.4,53.3,54.8,49.2,47.4
Vulnerability-4shot,54.6,54,45.2,55.4,54.2,55.2,53.4,45.6,54.2
Vulnerability-Devign,54.2,52.6,47.8,51,46.8,53.1,58.8,46.8,46.8
Vulnerability-Devign-4shot,52.2,54.4,45.4,54,53,54,56.2,44.2,53
MCQ,57.6,70.6,38.6,53.6,57.6,72.4,65.4,62.8,57.6
MCQ+Context,91.8,97.2,42.4,88.8,64.4,96.6,93.8,89.8,64.4
CVEfix,66.59,70,62.76,66.76,67.26,69.08,70.22,62.33,67.26
